date,address,rooms,area,floor,sell_price,price_per_m2
2024-05-30,Skanstorget 3A,2.0,51.0,3.0,4500000,88235.29
2024-05-25,Kastellgatan 22,2.0,70.0,3.0,6400000,91428.57
2024-05-07,Alfhemsgatan 5,1.0,37.0,4.0,3290000,88918.92
2024-05-06,Övre Djupedalsgatan 11D,2.0,55.0,1.0,5430000,98727.27
2024-04-29,Nordhemsgatan 18B,1.0,37.0,3.0,3035000,82027.03
2024-04-23,Majorsgatan 5A,2.0,51.0,4.0,3775000,74019.61
2024-04-11,Nordostpassagen 55,1.5,39.0,6.0,2700000,69230.77
2024-03-29,Olivedalsgatan 18,2.0,59.0,2.0,5390000,91355.93
2024-03-07,Nordhemsgatan 43C,2.0,29.0,5.0,3275000,112931.03
2024-02-22,Nilssonsberg 10,2.0,58.5,3.0,3650000,62393.16
2024-02-07,Övre Majorsgatan 10B,2.0,54.0,1.0,4075000,75462.96
2023-10-30,Rangströmsliden 5,2.0,52.5,3.0,3350000,63809.52
2023-10-18,Sjömansgatan 1,2.0,59.5,5.0,2750000,46218.49
2023-10-14,Fjärde Långgatan 17,2.5,61.0,4.0,3850000,63114.75
2023-10-03,Nordhemsgatan 18A,2.0,70.0,2.0,4750000,67857.14
2023-09-30,Olivedalsgatan 15B,2.5,78.0,2.0,5555000,71217.95
2023-06-30,Nordenskiöldsgatan 5,2.0,59.0,4.0,4275000,72457.63
2023-06-21,Nordostpassagen 59,1.5,39.0,5.0,2495000,63974.36
2023-06-11,Nordhemsgatan 41C,2.0,67.0,3.0,5100000,76119.4
2023-05-19,Nordostpassagen 37,2.0,53.0,8.0,3600000,67924.53
2023-04-20,Nordhemsgatan 66C,2.0,64.0,3.0,5700000,89062.5
2023-02-16,Linnégatan 1B,2.0,77.0,3.0,4625000,60064.94
2023-01-31,Nordostpassagen 37,2.0,53.0,8.0,4250000,80188.68
2022-11-24,Fjällgatan 3K,1.0,36.0,2.0,2250000,62500.0
2022-11-08,Tredje Långgatan 33,2.0,56.0,6.0,2780000,49642.86
2022-10-06,Majorsgatan 4,2.0,70.0,3.0,4900000,70000.0
2022-10-04,Linnégatan 41B,2.0,51.0,4.0,3800000,74509.8
2022-08-15,Nordostpassagen 9,2.0,52.0,2.0,3290000,63269.23
2022-07-07,Vaktmästaregången 5,2.0,67.5,2.0,2770000,41037.04
2022-07-04,Övre Husargatan 21A,2.0,82.0,2.0,5400000,65853.66
2022-06-24,Fjärde Långgatan 25,2.0,48.5,3.0,3160000,65154.64
2022-06-09,Övre Husargatan 21B,2.0,65.0,4.0,4450000,68461.54
2022-06-07,Nordostpassagen 33,1.5,39.0,5.0,2620000,67179.49
2022-05-21,Övre Djupedalsgatan 5A,1.0,42.0,2.0,2980000,70952.38
2022-04-20,Alfhemsgatan 5,1.0,36.5,2.0,3000000,82191.78
2022-04-10,Kastellgatan 13B,1.0,37.0,3.0,3560000,96216.22
2022-04-07,Sveagatan 2C,2.0,58.0,3.0,5500000,94827.59
2022-04-07,Risåsgatan 5,2.0,77.0,2.0,6080000,78961.04
2022-03-31,Sveagatan 23A,2.5,84.0,6.0,6950000,82738.1
2022-03-31,Sveagatan 24,2.0,57.0,2.0,4175000,73245.61
2022-03-30,Nilssonsberg 10,2.0,58.5,3.0,3860000,65982.91
2022-03-11,Kastellgatan 6B,1.0,36.0,1.0,3260000,90555.56
2021-12-13,Majorsgatan 4,2.0,68.0,2.0,5550000,81617.65
2021-10-28,Nordostpassagen 49,1.5,39.0,2.0,2650000,67948.72
2021-10-22,Sjömansgatan 3,2.0,59.5,4.0,3100000,52100.84
2021-10-07,Nordostpassagen 11,2.0,60.0,4.0,3660000,61000.0
2021-10-01,Sveagatan 2A,2.0,33.0,6.0,4150000,125757.58
2021-09-02,Nordostpassagen 50,1.5,39.0,4.0,2725000,69871.79
2021-08-20,Prinsgatan 6,2.0,59.0,1.0,4700000,79661.02
2021-08-03,Nordostpassagen 50,1.5,39.0,3.0,2780000,71282.05
2021-04-16,Fjällgatan 28,1.0,21.0,1.0,2050000,97619.05
2021-04-14,Kastellgatan 21B,2.0,46.0,1.0,2900000,63043.48
2021-03-19,Tredje Långgatan 35,2.0,70.0,7.0,5250000,75000.0
2021-01-14,Tredje Långgatan 40,2.0,48.5,4.0,2800000,57731.96
2020-11-14,Värmlandsgatan 28,2.0,67.0,1.0,4070000,60746.27
2020-12-05,Vaktmästaregången 5,2.0,57.0,3.0,3100000,54385.96
2020-11-04,Rosengatan 3A,2.0,66.0,2.0,5075000,76893.94
2020-10-29,Fjällgatan 9O,1.0,38.0,2.0,2780000,73157.89
2020-10-22,Nordostpassagen 11,2.0,52.0,4.0,3300000,63461.54
2020-10-22,Älghagsgatan 3H,2.0,35.0,1.0,2610000,74571.43
2020-10-04,Skepparegången 26,2.0,52.5,1.0,2900000,55238.1
2020-08-19,Nordenskiöldsgatan 30B,2.0,60.0,2.0,4380000,73000.0
2020-06-26,Rosengatan 3B,2.0,48.0,2.0,3800000,79166.67
2018-10-12,Sveagatan 23A,2.5,61.0,5.0,4580000,75081.97
2018-09-18,Första Långgatan 6A,2.0,73.0,3.0,4875000,66780.82
2018-09-05,Nordhemsgatan 18A,2.0,58.0,3.0,4150000,71551.72
2018-05-23,Majorsgatan 4,2.5,67.0,3.0,4800000,71641.79
2018-05-23,Första Långgatan 6B,2.0,62.0,2.0,3900000,62903.23
2018-05-11,Skanstorget 5B,2.0,62.0,3.0,3810000,61451.61
2018-02-24,Kastellgatan 4,2.0,56.0,1.0,3950000,70535.71
